127.0.0.1 - - [04/Dec/2018:08:59:51 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:04 +0800] "GET /web/index.html HTTP/1.1" 200 7366
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:04 +0800] "GET /web/ktc/css/inner_gold.css HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:04 +0800] "GET /web/css/main.css HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:04 +0800] "GET /web/ktc/css/base.css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:04 +0800] "GET /web/ktc/css/gold.css HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/plugins/ztree/css/zTreeStyle/zTreeStyle.css HTTP/1.1" 200 6319
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/plugins/layui/css/layui.css HTTP/1.1" 200 59632
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/plugins/jqgrid/ui.jqgrid-bootstrap.css HTTP/1.1" 200 19220
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/css/bootstrap.min.css HTTP/1.1" 200 121158
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/ktc/css/common.css HTTP/1.1" 200 19690
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/css/iview.css HTTP/1.1" 200 267709
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/css/index.css HTTP/1.1" 200 8428
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/css/basedata/ht-list-common.css HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/js/vue.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/css/basedata/add-weight-setting.css HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/plugins/iview/iview.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/plugins/layui/layui.all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:05 +0800] "GET /web/js/jquery-2.0.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2018:09:04:06 +0800] "GET /web/js/common.js HTTP/1.1" 304 -
